pH,seed,time,kinetic_time,U_lr_total,delta_U_lr,kinetic,S,S_z,lambda_max
3,73019,0.999999,1.0,-152.932,-14.980999999999995,0.00019932718838,0.381387,-0.242159,0.587591
3,11234,0.999999,1.0,-150.656,-12.826999999999998,0.047751831536999995,0.684816,-0.0341147,0.789877
3,101098,0.999999,1.0,-151.815,-14.050000000000011,0.0016113471211,0.837643,0.832175,0.891762
3,333,0.999999,1.0,-148.067,-10.857,0.0040218644157000005,0.703316,-0.208612,0.802211
3,112233,0.999999,1.0,-150.993,-13.349999999999994,0.00024897186486,0.793215,-0.13964,0.862143
3,1337212,0.999999,1.0,-152.385,-14.72199999999998,0.0009416411031,0.766413,-0.3483,0.844275
10,73019,0.999999,1.0,38.9962,-17.723999999999997,8.67219111e-07,0.978834,-0.479566,0.98589
10,11234,0.999999,1.0,40.8448,-15.601500000000001,0.0006129916214007339,0.59474,-0.201577,0.729827
10,101098,0.999999,1.0,41.2355,-15.310899999999997,5.2133713911348004e-05,0.261556,0.166094,0.507704
10,333,0.999999,1.0,40.3807,-16.299200000000006,0.00052907145025206,0.676657,-0.369088,0.784438
10,112233,0.999999,1.0,40.8566,-16.161499999999997,0.00086494835201,0.801261,0.182506,0.867507
10,1337212,0.999999,1.0,40.7242,-16.395699999999998,1.42157037866e-07,0.756037,0.123739,0.837358
