criterion,distance_cutoff,max_angle_deg,pH,seed,n_stacks,platelets_in_stacks,largest_stack
distance,0.06,20.0,3,73019,5,10,2
distance,0.06,20.0,3,11234,2,4,2
distance,0.06,20.0,3,101098,2,4,2
distance,0.06,20.0,3,333,0,0,0
distance,0.06,20.0,3,112233,2,4,2
distance,0.06,20.0,3,1337212,4,8,2
distance,0.06,20.0,10,73019,0,0,0
distance,0.06,20.0,10,11234,0,0,0
distance,0.06,20.0,10,101098,0,0,0
distance,0.06,20.0,10,333,0,0,0
distance,0.06,20.0,10,112233,0,0,0
distance,0.06,20.0,10,1337212,0,0,0
distance,0.07,20.0,3,73019,8,22,5
distance,0.07,20.0,3,11234,4,9,3
distance,0.07,20.0,3,101098,6,17,5
distance,0.07,20.0,3,333,5,11,3
distance,0.07,20.0,3,112233,6,12,2
distance,0.07,20.0,3,1337212,8,16,2
distance,0.07,20.0,10,73019,0,0,0
distance,0.07,20.0,10,11234,0,0,0
distance,0.07,20.0,10,101098,0,0,0
distance,0.07,20.0,10,333,0,0,0
distance,0.07,20.0,10,112233,0,0,0
distance,0.07,20.0,10,1337212,0,0,0
distance,0.08,20.0,3,73019,8,29,6
distance,0.08,20.0,3,11234,10,22,4
distance,0.08,20.0,3,101098,10,29,6
distance,0.08,20.0,3,333,7,19,5
distance,0.08,20.0,3,112233,10,22,3
distance,0.08,20.0,3,1337212,11,26,4
distance,0.08,20.0,10,73019,3,6,2
distance,0.08,20.0,10,11234,1,2,2
distance,0.08,20.0,10,101098,0,0,0
distance,0.08,20.0,10,333,0,0,0
distance,0.08,20.0,10,112233,0,0,0
distance,0.08,20.0,10,1337212,0,0,0
distance,0.09,20.0,3,73019,8,33,6
distance,0.09,20.0,3,11234,12,36,6
distance,0.09,20.0,3,101098,8,36,10
distance,0.09,20.0,3,333,10,31,5
distance,0.09,20.0,3,112233,12,39,9
distance,0.09,20.0,3,1337212,9,36,11
distance,0.09,20.0,10,73019,4,8,2
distance,0.09,20.0,10,11234,1,2,2
distance,0.09,20.0,10,101098,0,0,0
distance,0.09,20.0,10,333,0,0,0
distance,0.09,20.0,10,112233,1,2,2
distance,0.09,20.0,10,1337212,0,0,0
distance,0.1,20.0,3,73019,10,44,8
distance,0.1,20.0,3,11234,10,44,11
distance,0.1,20.0,3,101098,6,40,11
distance,0.1,20.0,3,333,10,35,7
distance,0.1,20.0,3,112233,6,42,18
distance,0.1,20.0,3,1337212,8,42,13
distance,0.1,20.0,10,73019,7,15,3
distance,0.1,20.0,10,11234,6,12,2
distance,0.1,20.0,10,101098,0,0,0
distance,0.1,20.0,10,333,1,2,2
distance,0.1,20.0,10,112233,3,6,2
distance,0.1,20.0,10,1337212,1,2,2
angle,0.08,10.0,3,73019,10,26,6
angle,0.08,10.0,3,11234,5,12,4
angle,0.08,10.0,3,101098,11,27,4
angle,0.08,10.0,3,333,6,15,4
angle,0.08,10.0,3,112233,7,16,3
angle,0.08,10.0,3,1337212,10,23,4
angle,0.08,10.0,10,73019,2,4,2
angle,0.08,10.0,10,11234,1,2,2
angle,0.08,10.0,10,101098,0,0,0
angle,0.08,10.0,10,333,0,0,0
angle,0.08,10.0,10,112233,0,0,0
angle,0.08,10.0,10,1337212,0,0,0
angle,0.08,20.0,3,73019,8,29,6
angle,0.08,20.0,3,11234,10,22,4
angle,0.08,20.0,3,101098,10,29,6
angle,0.08,20.0,3,333,7,19,5
angle,0.08,20.0,3,112233,10,22,3
angle,0.08,20.0,3,1337212,11,26,4
angle,0.08,20.0,10,73019,3,6,2
angle,0.08,20.0,10,11234,1,2,2
angle,0.08,20.0,10,101098,0,0,0
angle,0.08,20.0,10,333,0,0,0
angle,0.08,20.0,10,112233,0,0,0
angle,0.08,20.0,10,1337212,0,0,0
angle,0.08,30.0,3,73019,8,31,6
angle,0.08,30.0,3,11234,11,25,4
angle,0.08,30.0,3,101098,10,29,6
angle,0.08,30.0,3,333,8,25,7
angle,0.08,30.0,3,112233,10,23,3
angle,0.08,30.0,3,1337212,9,26,4
angle,0.08,30.0,10,73019,3,6,2
angle,0.08,30.0,10,11234,1,2,2
angle,0.08,30.0,10,101098,0,0,0
angle,0.08,30.0,10,333,0,0,0
angle,0.08,30.0,10,112233,0,0,0
angle,0.08,30.0,10,1337212,0,0,0
