pH,seed,time,n_stacks,platelets_in_stacks,largest_stack
3,73019,0.0,2,4,2
3,73019,0.001999,1,2,2
3,73019,0.003999,1,2,2
3,73019,0.005999,0,0,0
3,73019,0.007999,0,0,0
3,73019,0.009999,0,0,0
3,73019,0.011999,0,0,0
3,73019,0.013999,0,0,0
3,73019,0.015999,1,2,2
3,73019,0.017999,1,2,2
3,73019,0.019999,1,2,2
3,73019,0.021999,2,4,2
3,73019,0.023999,1,2,2
3,73019,0.025999,0,0,0
3,73019,0.027999,1,2,2
3,73019,0.029999,1,2,2
3,73019,0.031999,0,0,0
3,73019,0.033999,0,0,0
3,73019,0.035999,0,0,0
3,73019,0.037999,0,0,0
3,73019,0.039999,0,0,0
3,73019,0.041999,1,2,2
3,73019,0.043999,1,2,2
3,73019,0.045999,1,2,2
3,73019,0.047999,1,2,2
3,73019,0.049999,1,2,2
3,73019,0.051999,2,4,2
3,73019,0.053999,1,3,3
3,73019,0.055999,1,3,3
3,73019,0.057999,1,2,2
3,73019,0.059999,1,2,2
3,73019,0.061999,1,2,2
3,73019,0.063999,1,2,2
3,73019,0.065999,1,2,2
3,73019,0.067999,1,2,2
3,73019,0.069999,0,0,0
3,73019,0.071999,0,0,0
3,73019,0.073999,0,0,0
3,73019,0.075999,0,0,0
3,73019,0.077999,0,0,0
3,73019,0.079999,0,0,0
3,73019,0.081999,1,2,2
3,73019,0.083999,1,2,2
3,73019,0.085999,1,2,2
3,73019,0.087999,1,2,2
3,73019,0.089999,1,2,2
3,73019,0.091999,1,2,2
3,73019,0.093999,1,2,2
3,73019,0.095999,2,4,2
3,73019,0.097999,1,2,2
3,73019,0.099999,0,0,0
3,73019,0.101999,1,2,2
3,73019,0.103999,2,4,2
3,73019,0.105999,2,4,2
3,73019,0.107999,2,4,2
3,73019,0.109999,2,4,2
3,73019,0.111999,2,4,2
3,73019,0.113999,1,2,2
3,73019,0.115999,2,4,2
3,73019,0.117999,2,4,2
3,73019,0.119999,2,4,2
3,73019,0.121999,1,2,2
3,73019,0.123999,1,2,2
3,73019,0.125999,1,2,2
3,73019,0.127999,0,0,0
3,73019,0.129999,0,0,0
3,73019,0.131999,0,0,0
3,73019,0.133999,0,0,0
3,73019,0.135999,0,0,0
3,73019,0.137999,0,0,0
3,73019,0.139999,0,0,0
3,73019,0.141999,1,2,2
3,73019,0.143999,2,4,2
3,73019,0.145999,2,4,2
3,73019,0.147999,1,2,2
3,73019,0.149999,1,2,2
3,73019,0.151999,3,6,2
3,73019,0.153999,3,6,2
3,73019,0.155999,4,8,2
3,73019,0.157999,4,8,2
3,73019,0.159999,4,8,2
3,73019,0.161999,3,6,2
3,73019,0.163999,4,8,2
3,73019,0.165999,5,10,2
3,73019,0.167999,5,10,2
3,73019,0.169999,4,8,2
3,73019,0.171999,5,11,3
3,73019,0.173999,5,11,3
3,73019,0.175999,4,9,3
3,73019,0.177999,3,7,3
3,73019,0.179999,3,7,3
3,73019,0.181999,3,7,3
3,73019,0.183999,3,7,3
3,73019,0.185999,2,5,3
3,73019,0.187999,2,5,3
3,73019,0.189999,1,3,3
3,73019,0.191999,4,9,3
3,73019,0.193999,4,9,3
3,73019,0.195999,3,8,4
3,73019,0.197999,3,8,4
3,73019,0.199999,3,7,3
3,73019,0.201999,3,9,5
3,73019,0.203999,4,9,3
3,73019,0.205999,2,7,5
3,73019,0.207999,3,8,4
3,73019,0.209999,4,10,4
3,73019,0.211999,3,8,4
3,73019,0.213999,3,8,4
3,73019,0.215999,4,10,4
3,73019,0.217999,4,10,4
3,73019,0.219999,4,9,3
3,73019,0.221999,4,9,3
3,73019,0.223999,6,13,3
3,73019,0.225999,6,14,4
3,73019,0.227999,6,16,5
3,73019,0.229999,5,14,4
3,73019,0.231999,4,11,4
3,73019,0.233999,6,13,3
3,73019,0.235999,6,13,3
3,73019,0.237999,6,12,2
3,73019,0.239999,7,15,3
3,73019,0.241999,7,17,4
3,73019,0.243999,8,17,3
3,73019,0.245999,7,15,3
3,73019,0.247999,7,15,3
3,73019,0.249999,7,15,3
3,73019,0.251999,6,13,3
3,73019,0.253999,6,12,2
3,73019,0.255999,6,13,3
3,73019,0.257999,6,13,3
3,73019,0.259999,9,20,3
3,73019,0.261999,9,19,3
3,73019,0.263999,9,18,2
3,73019,0.265999,11,22,2
3,73019,0.267999,11,22,2
3,73019,0.269999,11,23,3
3,73019,0.271999,9,19,3
3,73019,0.273999,11,23,3
3,73019,0.275999,9,19,3
3,73019,0.277999,9,19,3
3,73019,0.279999,9,20,3
3,73019,0.281999,8,18,3
3,73019,0.283999,8,18,3
3,73019,0.285999,8,19,3
3,73019,0.287999,10,23,3
3,73019,0.289999,8,20,4
3,73019,0.291999,8,20,4
3,73019,0.293999,7,19,4
3,73019,0.295999,7,19,4
3,73019,0.297999,8,22,4
3,73019,0.299999,8,22,4
3,73019,0.301999,8,21,4
3,73019,0.303999,8,21,4
3,73019,0.305999,9,24,4
3,73019,0.307999,10,23,3
3,73019,0.309999,10,24,3
3,73019,0.311999,10,26,3
3,73019,0.313999,11,29,3
3,73019,0.315999,9,24,4
3,73019,0.317999,9,24,4
3,73019,0.319999,9,24,4
3,73019,0.321999,9,24,4
3,73019,0.323999,9,23,3
3,73019,0.325999,9,24,3
3,73019,0.327999,9,24,3
3,73019,0.329999,8,22,3
3,73019,0.331999,8,21,3
3,73019,0.333999,9,23,3
3,73019,0.335999,9,22,3
3,73019,0.337999,8,20,3
3,73019,0.339999,9,23,4
3,73019,0.341999,10,25,4
3,73019,0.343999,10,26,4
3,73019,0.345999,10,25,3
3,73019,0.347999,11,28,3
3,73019,0.349999,11,28,3
3,73019,0.351999,10,26,3
3,73019,0.353999,9,24,3
3,73019,0.355999,9,24,3
3,73019,0.357999,9,24,3
3,73019,0.359999,10,26,3
3,73019,0.361999,10,26,3
3,73019,0.363999,10,26,3
3,73019,0.365999,10,27,4
3,73019,0.367999,10,27,4
3,73019,0.369999,10,28,5
3,73019,0.371999,11,31,5
3,73019,0.373999,11,29,4
3,73019,0.375999,11,28,3
3,73019,0.377999,11,31,4
3,73019,0.379999,11,31,4
3,73019,0.381999,11,32,4
3,73019,0.383999,11,31,4
3,73019,0.385999,11,32,4
3,73019,0.387999,11,34,5
3,73019,0.389999,11,34,5
3,73019,0.391999,11,35,5
3,73019,0.393999,10,33,5
3,73019,0.395999,10,29,4
3,73019,0.397999,10,28,4
3,73019,0.399999,10,31,4
3,73019,0.401999,10,30,4
3,73019,0.403999,10,31,4
3,73019,0.405999,11,32,4
3,73019,0.407999,11,33,4
3,73019,0.409999,11,33,4
3,73019,0.411999,11,33,4
3,73019,0.413999,10,31,4
3,73019,0.415999,10,31,4
3,73019,0.417999,10,32,4
3,73019,0.419999,10,32,4
3,73019,0.421999,10,31,4
3,73019,0.423999,10,32,4
3,73019,0.425999,10,32,4
3,73019,0.427999,10,32,5
3,73019,0.429999,9,30,5
3,73019,0.431999,9,30,5
3,73019,0.433999,9,31,5
3,73019,0.435999,9,31,5
3,73019,0.437999,9,32,5
3,73019,0.439999,9,32,5
3,73019,0.441999,9,32,5
3,73019,0.443999,10,32,5
3,73019,0.445999,10,32,5
3,73019,0.447999,10,35,6
3,73019,0.449999,11,35,6
3,73019,0.451999,11,35,6
3,73019,0.453999,10,34,6
3,73019,0.455999,11,35,6
3,73019,0.457999,9,32,6
3,73019,0.459999,9,30,5
3,73019,0.461999,10,30,5
3,73019,0.463999,9,31,5
3,73019,0.465999,10,31,5
3,73019,0.467999,10,29,4
3,73019,0.469999,11,31,4
3,73019,0.471999,11,31,4
3,73019,0.473999,12,33,4
3,73019,0.475999,12,33,4
3,73019,0.477999,12,33,4
3,73019,0.479999,11,33,4
3,73019,0.481999,10,33,6
3,73019,0.483999,10,33,6
3,73019,0.485999,10,33,6
3,73019,0.487999,10,33,6
3,73019,0.489999,12,32,4
3,73019,0.491999,11,32,5
3,73019,0.493999,11,33,5
3,73019,0.495999,11,33,5
3,73019,0.497999,11,33,5
3,73019,0.499999,11,33,5
3,73019,0.501999,10,31,5
3,73019,0.503999,10,30,5
3,73019,0.505999,9,29,5
3,73019,0.507999,10,29,5
3,73019,0.509999,10,29,5
3,73019,0.511999,10,29,5
3,73019,0.513999,9,29,5
3,73019,0.515999,9,29,5
3,73019,0.517999,9,28,5
3,73019,0.519999,9,28,5
3,73019,0.521999,10,30,5
3,73019,0.523999,10,30,5
3,73019,0.525999,10,31,5
3,73019,0.527999,10,31,6
3,73019,0.529999,10,32,6
3,73019,0.531999,10,32,7
3,73019,0.533999,10,32,7
3,73019,0.535999,10,33,7
3,73019,0.537999,10,31,6
3,73019,0.539999,11,33,5
3,73019,0.541999,10,32,5
3,73019,0.543999,10,33,5
3,73019,0.545999,10,33,5
3,73019,0.547999,11,33,5
3,73019,0.549999,11,32,5
3,73019,0.551999,10,33,5
3,73019,0.553999,10,32,5
3,73019,0.555999,9,31,5
3,73019,0.557999,9,29,5
3,73019,0.559999,9,29,5
3,73019,0.561999,9,28,5
3,73019,0.563999,8,28,6
3,73019,0.565999,9,29,5
3,73019,0.567999,9,29,5
3,73019,0.569999,8,29,6
3,73019,0.571999,8,28,6
3,73019,0.573999,9,29,5
3,73019,0.575999,8,29,6
3,73019,0.577999,8,29,6
3,73019,0.579999,8,29,6
3,73019,0.581999,8,29,6
3,73019,0.583999,8,29,6
3,73019,0.585999,8,29,6
3,73019,0.587999,8,29,6
3,73019,0.589999,8,29,6
3,73019,0.591999,8,29,6
3,73019,0.593999,8,29,6
3,73019,0.595999,9,29,5
3,73019,0.597999,8,29,6
3,73019,0.599999,8,29,6
3,73019,0.601999,9,29,5
3,73019,0.603999,8,29,6
3,73019,0.605999,9,29,5
3,73019,0.607999,8,29,6
3,73019,0.609999,8,29,6
3,73019,0.611999,8,29,6
3,73019,0.613999,9,29,5
3,73019,0.615999,8,29,6
3,73019,0.617999,8,29,6
3,73019,0.619999,9,29,5
3,73019,0.621999,8,29,6
3,73019,0.623999,9,29,5
3,73019,0.625999,9,29,5
3,73019,0.627999,8,29,6
3,73019,0.629999,8,29,6
3,73019,0.631999,8,29,6
3,73019,0.633999,8,29,6
3,73019,0.635999,8,29,6
3,73019,0.637999,8,29,6
3,73019,0.639999,8,29,6
3,73019,0.641999,8,29,6
3,73019,0.643999,8,29,6
3,73019,0.645999,8,29,6
3,73019,0.647999,8,29,6
3,73019,0.649999,8,29,6
3,73019,0.651999,8,29,6
3,73019,0.653999,8,29,6
3,73019,0.655999,8,29,6
3,73019,0.657999,8,29,6
3,73019,0.659999,8,29,6
3,73019,0.661999,8,29,6
3,73019,0.663999,8,29,6
3,73019,0.665999,8,29,6
3,73019,0.667999,8,29,6
3,73019,0.669999,8,29,6
3,73019,0.671999,8,29,6
3,73019,0.673999,8,29,6
3,73019,0.675999,8,29,6
3,73019,0.677999,8,29,6
3,73019,0.679999,8,29,6
3,73019,0.681999,8,29,6
3,73019,0.683999,8,29,6
3,73019,0.685999,8,29,6
3,73019,0.687999,8,29,6
3,73019,0.689999,8,29,6
3,73019,0.691999,8,29,6
3,73019,0.693999,8,29,6
3,73019,0.695999,8,29,6
3,73019,0.697999,8,29,6
3,73019,0.699999,8,29,6
3,73019,0.701999,8,29,6
3,73019,0.703999,8,29,6
3,73019,0.705999,8,29,6
3,73019,0.707999,8,29,6
3,73019,0.709999,8,29,6
3,73019,0.711999,8,29,6
3,73019,0.713999,8,29,6
3,73019,0.715999,8,29,6
3,73019,0.717999,8,29,6
3,73019,0.719999,8,29,6
3,73019,0.721999,8,29,6
3,73019,0.723999,8,29,6
3,73019,0.725999,8,29,6
3,73019,0.727999,8,29,6
3,73019,0.729999,8,29,6
3,73019,0.731999,8,29,6
3,73019,0.733999,8,29,6
3,73019,0.735999,8,29,6
3,73019,0.737999,8,29,6
3,73019,0.739999,8,29,6
3,73019,0.741999,8,29,6
3,73019,0.743999,8,29,6
3,73019,0.745999,8,29,6
3,73019,0.747999,8,29,6
3,73019,0.749999,8,29,6
3,73019,0.751999,8,29,6
3,73019,0.753999,8,29,6
3,73019,0.755999,8,29,6
3,73019,0.757999,8,29,6
3,73019,0.759999,8,29,6
3,73019,0.761999,8,29,6
3,73019,0.763999,8,29,6
3,73019,0.765999,8,29,6
3,73019,0.767999,8,29,6
3,73019,0.769999,8,29,6
3,73019,0.771999,8,29,6
3,73019,0.773999,8,29,6
3,73019,0.775999,8,29,6
3,73019,0.777999,8,29,6
3,73019,0.779999,8,29,6
3,73019,0.781999,8,29,6
3,73019,0.783999,8,29,6
3,73019,0.785999,8,29,6
3,73019,0.787999,8,29,6
3,73019,0.789999,8,29,6
3,73019,0.791999,8,29,6
3,73019,0.793999,8,29,6
3,73019,0.795999,8,29,6
3,73019,0.797999,8,29,6
3,73019,0.799999,8,29,6
3,73019,0.801999,8,29,6
3,73019,0.803999,8,29,6
3,73019,0.805999,8,29,6
3,73019,0.807999,8,29,6
3,73019,0.809999,8,29,6
3,73019,0.811999,8,29,6
3,73019,0.813999,8,29,6
3,73019,0.815999,8,29,6
3,73019,0.817999,8,29,6
3,73019,0.819999,8,29,6
3,73019,0.821999,8,29,6
3,73019,0.823999,8,29,6
3,73019,0.825999,8,29,6
3,73019,0.827999,8,29,6
3,73019,0.829999,8,29,6
3,73019,0.831999,8,29,6
3,73019,0.833999,8,29,6
3,73019,0.835999,8,29,6
3,73019,0.837999,8,29,6
3,73019,0.839999,8,29,6
3,73019,0.841999,8,29,6
3,73019,0.843999,8,29,6
3,73019,0.845999,8,29,6
3,73019,0.847999,8,29,6
3,73019,0.849999,8,29,6
3,73019,0.851999,8,29,6
3,73019,0.853999,8,29,6
3,73019,0.855999,8,29,6
3,73019,0.857999,8,29,6
3,73019,0.859999,8,29,6
3,73019,0.861999,8,29,6
3,73019,0.863999,8,29,6
3,73019,0.865999,8,29,6
3,73019,0.867999,8,29,6
3,73019,0.869999,8,29,6
3,73019,0.871999,8,29,6
3,73019,0.873999,8,29,6
3,73019,0.875999,8,29,6
3,73019,0.877999,8,29,6
3,73019,0.879999,8,29,6
3,73019,0.881999,8,29,6
3,73019,0.883999,8,29,6
3,73019,0.885999,8,29,6
3,73019,0.887999,8,29,6
3,73019,0.889999,8,29,6
3,73019,0.891999,8,29,6
3,73019,0.893999,8,29,6
3,73019,0.895999,8,29,6
3,73019,0.897999,8,29,6
3,73019,0.899999,8,29,6
3,73019,0.901999,8,29,6
3,73019,0.903999,8,29,6
3,73019,0.905999,8,29,6
3,73019,0.907999,8,29,6
3,73019,0.909999,8,29,6
3,73019,0.911999,8,29,6
3,73019,0.913999,8,29,6
3,73019,0.915999,8,29,6
3,73019,0.917999,8,29,6
3,73019,0.919999,8,29,6
3,73019,0.921999,8,29,6
3,73019,0.923999,8,29,6
3,73019,0.925999,8,29,6
3,73019,0.927999,8,29,6
3,73019,0.929999,8,29,6
3,73019,0.931999,8,29,6
3,73019,0.933999,8,29,6
3,73019,0.935999,8,29,6
3,73019,0.937999,8,29,6
3,73019,0.939999,8,29,6
3,73019,0.941999,8,29,6
3,73019,0.943999,8,29,6
3,73019,0.945999,8,29,6
3,73019,0.947999,8,29,6
3,73019,0.949999,8,29,6
3,73019,0.951999,8,29,6
3,73019,0.953999,8,29,6
3,73019,0.955999,8,29,6
3,73019,0.957999,8,29,6
3,73019,0.959999,8,29,6
3,73019,0.961999,8,29,6
3,73019,0.963999,8,29,6
3,73019,0.965999,8,29,6
3,73019,0.967999,8,29,6
3,73019,0.969999,8,29,6
3,73019,0.971999,8,29,6
3,73019,0.973999,8,29,6
3,73019,0.975999,8,29,6
3,73019,0.977999,8,29,6
3,73019,0.979999,8,29,6
3,73019,0.981999,8,29,6
3,73019,0.983999,8,29,6
3,73019,0.985999,8,29,6
3,73019,0.987999,8,29,6
3,73019,0.989999,8,29,6
3,73019,0.991999,8,29,6
3,73019,0.993999,8,29,6
3,73019,0.995999,8,29,6
3,73019,0.997999,8,29,6
3,73019,0.999999,8,29,6
3,11234,0.0,1,2,2
3,11234,0.001999,0,0,0
3,11234,0.003999,0,0,0
3,11234,0.005999,0,0,0
3,11234,0.007999,0,0,0
3,11234,0.009999,0,0,0
3,11234,0.011999,0,0,0
3,11234,0.013999,0,0,0
3,11234,0.015999,0,0,0
3,11234,0.017999,0,0,0
3,11234,0.019999,0,0,0
3,11234,0.021999,0,0,0
