variant,alpha_init,alpha,alpha_error_pct,val_rmse_K
baseline (plain MLP),7e-06,5.262113518256228e-06,47.37886481743772,0.583049476146698
baseline (plain MLP),1e-05,6.94206983098411e-06,30.579301690158907,0.5568661093711853
baseline (plain MLP),1.3e-05,8.799054739938583e-06,12.009452600614175,0.5769815444946289
baseline (plain MLP),1.7e-05,1.1422224815760273e-05,14.222248157602726,0.7474349737167358
bigger MLP,7e-06,5.63841831535683e-06,43.615816846431706,0.5104846358299255
bigger MLP,1e-05,7.6188262028153986e-06,23.81173797184602,0.49197325110435486
bigger MLP,1.3e-05,9.68877793638967e-06,3.1122206361033102,0.5826667547225952
bigger MLP,1.7e-05,1.2461654478101991e-05,24.6165447810199,0.8672230839729309
Fourier features,7e-06,6.2698431975150015e-06,37.30156802484999,0.5356587171554565
Fourier features,1e-05,8.2818150985986e-06,17.181849014014013,0.35260382294654846
Fourier features,1.3e-05,1.0216109330940526e-05,2.1610933094052514,0.3498649597167969
Fourier features,1.7e-05,1.238471577380551e-05,23.847157738055092,0.49282804131507874
